AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 116 0 0 0 0 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 0 0 0 
5 115 0 0 0 0 
6 0 0 0 0 0 
7 115 0 0 0 0 
8 115 0 0 0 0 
9 115 0 0 0 0 
10 0 0 0 0 0 
